student_id,first_name,middle_name,last_name,email,school_code
d65239a5-d26c-48fc-83e0-9add1cc8e689,Marne,Charil,Gilbart,cgilbart0@slashdot.org,GS
ac1cd726-5dc0-41f8-91e5-3724e77cc8a3,Sybyl,Brandice,Hawkey,bhawkey1@examiner.com,CC
ff3f9660-7442-4a8f-aaff-850bbb77ecbc,Gustave,Nehemiah,Kindell,nkindell2@prnewswire.com,GS
4d4e3349-fb84-427c-9129-deef193e16ec,Rozamond,Hollyanne,Nelthorpe,hnelthorpe3@mozilla.org,GSAS
462efd0b-6f67-44ed-90f1-2c2503dfc24c,Desmund,Fenelia,Aymes,faymes4@adobe.com,CC
a99a5990-8f3f-4ca1-a5be-3b23348ba3d3,Dmitri,Reagan,Ladbury,rladbury5@csmonitor.com,SEAS
75e9c8d8-1408-4bb0-b2d0-956df2b3cc9d,Mirna,Izak,Meaker,imeaker6@dailymail.co.uk,GSAS
3d211d67-960d-4f67-8657-de6bc339457d,Karil,Kynthia,Emslie,kemslie7@jalbum.net,GSAS
a99e0c14-4a45-4ce2-a178-c00e03b58e67,Buddie,Starla,Livermore,slivermore8@wunderground.com,SEAS
3603774a-ee1f-4df5-acca-78b2d210ad44,Kaylil,Tammy,Jagg,tjagg9@gov.uk,GS
3c22c62c-64bb-4b73-b6a8-f2eb26af5654,Arlen,Florence,Baldacco,fbaldaccoa@slideshare.net,GSAS
2514a9a6-a696-429c-a81c-9f23826b98aa,Whitney,Micki,Pilley,mpilleyb@netscape.com,GSAS
5a1a1d26-0513-4543-9222-67792bd02844,Forester,Kele,Wharmby,kwharmbyc@nydailynews.com,GS
e8236b3b-e660-46bc-967c-83d423873aa8,Hilarius,Basilius,Zanussii,bzanussiid@census.gov,GSAS
7e7dbc6b-995b-436b-9df6-e2ad9bb6de89,Jody,Rebbecca,Murch,rmurche@imageshack.us,GSAS
3482655b-396c-46c5-83f5-294fa104982c,Elvin,Corri,Wedmore.,cwedmoref@google.nl,GS
68bc6a15-3251-4f52-8534-47f33be6d046,Merrily,Marabel,Baszniak,mbaszniakg@usa.gov,CC
b14b5c18-2f77-46b0-b71d-8757bbadf202,Tad,Aldridge,Debell,adebellh@hexun.com,GSAS
bf64cb39-a13a-4905-9cd9-df77348e2bb2,Benjamen,Antonius,Ruoff,aruoffi@list-manage.com,SEAS
59dd32a9-b036-44c5-8c0e-31ba31496b72,Hilly,Taryn,Prigmore,tprigmorej@noaa.gov,GSAS
08c0a219-fac0-4136-9764-48c90e809c19,Hayes,Tedmund,Grieves,tgrievesk@pinterest.com,CC
011e379a-e8c9-44e5-92d3-5453bcc4b252,Barbette,Mildred,Eaves,meavesl@google.com.br,SEAS
db673722-031c-4ec2-808c-44db5c9fc7a2,Elissa,Dacey,Gorry,dgorrym@cnet.com,CC
a8ead7ff-295e-48e1-ab0a-9fce70875bfd,Kristopher,Karl,Clunan,kclunann@constantcontact.com,SEAS
7f0279b5-e546-4c53-b8a4-ddd1eabc7057,Faulkner,Yvette,Rackley,yrackleyo@go.com,GSAS
4edfc4bf-e42a-4c7c-ada2-c2f4b681a8c9,Gerty,Stepha,Wisniewski,swisniewskip@spiegel.de,GSAS
a16167b6-5467-4d39-9e98-bb58944a178c,Allie,Bernelle,Lies,bliesq@mayoclinic.com,CC
b7a875ad-ddaf-4aa2-9e1d-c057ec19507a,Lion,Lilli,Tindle,ltindler@tmall.com,GS
1d781736-c27b-41e3-aca3-0a85ae97953d,Frederique,Erna,Deeley,edeeleys@cyberchimps.com,GSAS
efee259a-8515-4b05-9700-1c4c19323725,Staford,Kathrine,Rosin,krosint@senate.gov,GSAS
83dc9d92-c777-4033-8578-6c093b4c6171,Pierette,Faulkner,Starling,fstarlingu@wix.com,GS
e8cdf262-249c-4453-b7dd-1c0cb960ccc6,Leodora,Deanne,Nulty,dnultyv@slate.com,GS
4d81aded-affe-40f6-b6a5-c99ff361e165,Novelia,Chrysler,Spurrett,cspurrettw@alexa.com,CC
f111d8b7-d70d-4a0e-808a-6d84184cba45,Datha,Blake,Kensall,bkensallx@woothemes.com,CC
d1e15203-c22d-4ff5-a9b2-271a8f32ba34,Jonathon,Lainey,Swire,lswirey@hao123.com,SEAS
a98adc93-910d-4107-9e3a-3350b0ad4857,Kerianne,Theodosia,Borless,tborlessz@alexa.com,GSAS
fef9944a-4ed4-4f1b-892f-3c6693d3f4b3,Robbie,Symon,O'Duilleain,soduilleain10@mlb.com,CC
8f57bb7e-1aa7-4fc6-8677-e3102e5d99dd,Stefan,Emilie,Adds,eadds11@paginegialle.it,SEAS
d7d93a32-f106-4e9d-8e05-4941eb56d1c6,Morgen,Holly,Woodroofe,hwoodroofe12@yale.edu,CC
4c8503cd-35c2-4c21-9f16-bd04e3b232ce,Sonia,Verna,St. Paul,vstpaul13@fastcompany.com,GS
ac2dffde-bc2e-41f7-aa92-9217f47e608b,Vicky,Beret,Cattell,bcattell14@berkeley.edu,SEAS
3a05bc67-f424-4d47-8436-f58812120a89,Lira,Bonita,Redmore,bredmore15@gov.uk,CC
3ea1a5e6-285e-4440-aa85-db47a394124f,Reg,Vevay,Burtwistle,vburtwistle16@skype.com,GS
0deb22c9-a8a7-4ec8-affe-cbb55f506b8b,Burk,Burr,Southers,bsouthers17@blinklist.com,GSAS
3dfcabfa-ec00-48b1-bbc5-734ffcc39278,Gussi,Ibby,Kovalski,ikovalski18@sakura.ne.jp,CC
4300f352-1495-468f-b702-57867d8bbfb2,Clarie,Katerina,Jacombs,kjacombs19@toplist.cz,CC
127ce564-b2eb-4dee-a84c-6e70d51012e0,Stuart,Biddy,Rabbe,brabbe1a@wisc.edu,SEAS
0f42a171-44d2-4691-81b8-b4f36f874968,Melisandra,Ian,Choldcroft,icholdcroft1b@army.mil,CC
47a57bc6-72d1-4051-98d1-cedec1577776,Sara-ann,Sasha,Schumacher,sschumacher1c@earthlink.net,GSAS
e61cdcbb-f516-4d8b-9349-ae2685dac7d5,Madalena,Faina,Fleg,ffleg1d@dyndns.org,GS
cf2c654f-68bf-4311-9c0f-10904840c4c5,Starr,Mina,Cockman,mcockman1e@dedecms.com,SEAS
c4124c49-3c33-4f38-8b36-eb5560dc6802,Jacintha,Des,Mayze,dmayze1f@blogs.com,GS
937086c2-f05e-43fa-8518-1b532a70561f,Doris,Sherye,Buret,sburet1g@xrea.com,GS
24dfc851-b960-48bc-b743-e05daa9803e5,Salvidor,Hilarius,Moynihan,hmoynihan1h@meetup.com,GS
4420fa7b-e1f8-4355-8e79-444117a72ffd,Duke,Lenka,Cummings,lcummings1i@devhub.com,SEAS
464a726a-da2d-4863-bb65-41790a4e8634,Haley,Angelique,Shera,ashera1j@multiply.com,GS
bf51c67b-9196-4f2a-94e1-ecd42e9bbe53,Drucy,Wyndham,Dagon,wdagon1k@deliciousdays.com,GS
c09a2ca7-8515-4c1a-a578-8ba56fff797e,Stevy,Brigitte,Pickett,bpickett1l@indiegogo.com,GSAS
060eedf5-0577-4909-8ee6-308b9b638819,Van,Jacquenette,Meaden,jmeaden1m@joomla.org,CC
a047f4a4-0c0a-4fcf-af33-043d4cf470eb,Sandra,Faydra,Iacabucci,fiacabucci1n@columbia.edu,GS
414955f4-d812-4493-a15a-8de276e8c9cf,Esdras,Mohandis,Rubens,mrubens1o@reference.com,GS
